,mnth,hr,weekday,temp,hum,windspeed,casual,cnt,season_fall,season_springer,season_summer,season_winter,holiday_No,holiday_Yes,workingday_No work,workingday_Working Day,weathersit_Clear,weathersit_Heavy Rain,weathersit_Light Snow,weathersit_Mist
0,1,0,6,0.24,0.81,0.0,3.0,16,0,1,0,0,1,0,1,0,1,0,0,0
1,1,1,6,0.22,0.8,0.0,8.0,40,0,1,0,0,1,0,1,0,1,0,0,0
3,1,3,6,0.24,0.75,0.0,3.0,13,0,1,0,0,1,0,1,0,1,0,0,0
4,1,4,6,0.24,0.75,0.0,0.0,5,0,1,0,0,1,0,1,0,1,0,0,0
5,1,5,6,0.24,0.75,0.0896,0.0,5,0,1,0,0,1,0,1,0,0,0,0,1
7,1,7,6,0.2,0.86,0.0,1.0,5,0,1,0,0,1,0,1,0,1,0,0,0
8,1,8,6,0.24,0.75,0.0,1.0,8,0,1,0,0,1,0,1,0,1,0,0,0
10,1,10,6,0.38,0.76,0.2537,12.0,36,0,1,0,0,1,0,1,0,1,0,0,0
13,1,13,6,0.46,0.72,0.2985,47.0,94,0,1,0,0,1,0,1,0,0,0,0,1
14,1,14,6,0.46,0.72,0.2836,35.0,106,0,1,0,0,1,0,1,0,0,0,0,1
16,1,16,6,0.42,0.82,0.2985,41.0,93,0,1,0,0,1,0,1,0,0,0,0,1
17,1,17,6,0.44,0.82,0.2836,15.0,67,0,1,0,0,1,0,1,0,0,0,0,1
19,1,19,6,0.42,0.88,0.2537,6.0,37,0,1,0,0,1,0,1,0,0,0,1,0
20,1,20,6,0.4,0.87,0.2537,11.0,36,0,1,0,0,1,0,1,0,0,0,0,1
21,1,21,6,0.4,0.87,0.194,3.0,34,0,1,0,0,1,0,1,0,0,0,0,1
22,1,22,6,0.4,0.94,0.2239,11.0,28,0,1,0,0,1,0,1,0,0,0,0,1
23,1,23,6,0.46,0.88,0.2985,15.0,39,0,1,0,0,1,0,1,0,0,0,0,1
24,1,0,0,0.46,0.88,0.2985,4.0,17,0,1,0,0,1,0,1,0,0,0,0,1
25,1,1,0,0.44,0.94,0.2537,1.0,17,0,1,0,0,1,0,1,0,0,0,0,1
26,1,2,0,0.42,1.0,0.2836,1.0,9,0,1,0,0,1,0,1,0,0,0,0,1
27,1,3,0,0.46,0.94,0.194,2.0,6,0,1,0,0,1,0,1,0,0,0,0,1
28,1,4,0,0.46,0.94,0.194,2.0,5,0,1,0,0,1,0,1,0,0,0,0,1
29,1,6,0,0.42,0.77,0.2985,0.0,5,0,1,0,0,1,0,1,0,0,0,1,0
30,1,7,0,0.4,0.76,0.194,0.0,5,0,1,0,0,1,0,1,0,0,0,0,1
31,1,8,0,0.4,0.71,0.2239,0.0,8,0,1,0,0,1,0,1,0,0,0,1,0
32,1,9,0,0.38,0.76,0.2239,1.0,20,0,1,0,0,1,0,1,0,0,0,0,1
33,1,10,0,0.36,0.81,0.2239,7.0,53,0,1,0,0,1,0,1,0,0,0,0,1
34,1,11,0,0.36,0.71,0.2537,16.0,70,0,1,0,0,1,0,1,0,0,0,0,1
35,1,12,0,0.36,0.66,0.2985,20.0,93,0,1,0,0,1,0,1,0,0,0,0,1
36,1,13,0,0.36,0.66,0.1343,11.0,75,0,1,0,0,1,0,1,0,0,0,0,1
37,1,14,0,0.36,0.76,0.194,4.0,59,0,1,0,0,1,0,1,0,0,0,1,0
38,1,15,0,0.34,0.81,0.1642,19.0,74,0,1,0,0,1,0,1,0,0,0,1,0
39,1,16,0,0.34,0.71,0.1642,9.0,76,0,1,0,0,1,0,1,0,0,0,1,0
40,1,17,0,0.34,0.57,0.194,7.0,65,0,1,0,0,1,0,1,0,1,0,0,0
41,1,18,0,0.36,0.46,0.3284,10.0,53,0,1,0,0,1,0,1,0,0,0,0,1
43,1,20,0,0.3,0.39,0.3582,5.0,22,0,1,0,0,1,0,1,0,1,0,0,0
44,1,21,0,0.26,0.44,0.3284,11.0,31,0,1,0,0,1,0,1,0,1,0,0,0
45,1,22,0,0.24,0.44,0.2985,0.0,9,0,1,0,0,1,0,1,0,1,0,0,0
46,1,23,0,0.22,0.47,0.1642,0.0,8,0,1,0,0,1,0,1,0,1,0,0,0
